facet,group,A,H,N,G,V,growthH,MAIh,growthG,MAIg,growthVt,MAIv,Dq,Dn,Dx,a,b,c,si,vtotal,vdlu_6cm,vdlu_8cm,vdlu_12cm,vdlu_16cm,vdlu_0cm
g1,8015,12,14.76240152,1254.918821,24.64315029,117.204207,1.248018818,1.230200126,3.027918281,2.053595858,22.60035615,9.767017247,15.8123113,10.86576363,23.06231798,10.86576363,5.582549373,2.332496001,22.86829827,117.204207,115.7358446,109.8051118,81.13145066,35.64602482,117.204207
g1,8015,13,15.95989976,1247.189484,27.46120826,140.9946274,1.197498247,1.227684597,2.818057973,2.112400636,23.79042048,10.84574057,16.74359305,11.49863635,24.2048814,11.49863635,5.920234431,2.304780774,22.86829827,140.9946274,138.8706715,132.1898616,100.5705442,50.47495862,140.9946274
g1,8015,14,17.10494311,1239.650989,30.0626027,165.7266685,1.145043346,1.221781651,2.601394432,2.147328764,24.73204103,11.83761918,17.57189633,12.06180905,25.21628632,12.06180905,6.220312917,2.276850245,22.86829827,165.7266685,163.044846,155.283896,120.835714,66.35949039,165.7266685
g1,8015,15,18.19661499,1232.306311,32.44792491,191.2515261,1.09167188,1.213107666,2.385322217,2.163194994,25.52485758,12.75010174,18.31003553,12.56326443,26.10281369,12.56326443,6.48818554,2.248883006,22.86829827,191.2515261,187.6244494,179.1393412,141.8045,82.88118623,191.2515261
g1,8015,16,19.23478639,1225.156248,34.62274328,217.3140549,1.038171396,1.202174149,2.174818364,2.163921455,26.06252881,13.58212843,18.96880874,13.00989204,26.87132508,13.00989204,6.728218905,2.221017068,22.86829827,217.3140549,212.5956491,203.1000356,163.1141233,99.97419018,217.3140549
g1,8015,17,20.21993473,1218.19991,36.59596194,243.3995742,0.985148342,1.189407925,1.973218665,2.152703644,26.08551931,14.31762201,19.55745598,13.40772365,27.52905135,13.40772365,6.943996109,2.193359835,22.86829827,243.3995742,237.4867683,226.9838626,184.3979362,117.5111956,243.3995742
g1,8015,18,21.15300043,1211.43511,38.37864069,269.5753247,0.933065705,1.175166691,1.782678753,2.132146705,26.17575052,14.97640693,20.08397979,13.76209499,28.08341399,13.76209499,7.138495178,2.165995083,22.86829827,269.5753247,262.0865687,250.7418132,205.5499178,135.0554179,269.5753247
g1,8015,19,22.0352727,1204.858664,39.98312424,295.2935893,0.882272262,1.159751195,1.604483542,2.10437496,25.71826463,15.54176786,20.55537338,14.07775838,28.54187494,14.07775838,7.314218844,2.138987946,22.86829827,295.2935893,286.4504704,273.9047856,226.0553831,152.0348302,295.2935893
g1,8015,20,22.86829827,1198.466633,41.42239584,320.2143128,0.833025574,1.143414914,1.439271602,2.071119792,24.92072353,16.01071564,20.97778804,14.35896414,28.91181316,14.35896414,7.473290805,2.112388612,22.86829827,320.2143128,310.0306159,296.3001993,245.8884107,168.4306141,320.2143128
g1,8015,21,23.65380851,1192.254512,42.70960052,344.1345472,0.785510237,1.126371834,1.287204681,2.033790501,23.92023433,16.38735939,21.35665965,14.60952231,29.20042622,14.60952231,7.617528405,2.086235126,22.86829827,344.1345472,332.6391345,317.7286151,264.837764,184.1569053,344.1345472
g1,8015,22,24.39366098,1186.217383,43.85769875,366.43132,0.739852472,1.108802772,1.148098226,1.993531761,22.29677285,16.65596909,21.69680758,14.83285162,29.41465458,14.83285162,7.748498379,2.060555595,22.86829827,366.43132,353.8787252,338.0846175,283.2563167,200.0306568,366.43132
g1,8015,23,25.08979284,1180.35004,44.87922122,387.8097707,0.696131865,1.090860558,1.021522479,1.951270488,21.37845072,16.86129438,22.00251399,15.03201996,29.56112607,15.03201996,7.867560263,2.035369952,22.86829827,387.8097707,374.0869878,357.3960773,300.4627353,214.5199917,387.8097707
g1,8015,24,25.74418369,1174.647085,45.78610191,407.9495756,0.654390851,1.072674321,0.906880684,1.907754246,20.13980486,16.99789898,22.27758924,15.20977903,29.64611745,15.20977903,7.975900625,2.010691402,22.86829827,407.9495756,393.2546942,375.7635176,317.0596388,228.7990011,407.9495756
g1,8015,25,26.35882611,1169.103007,46.58957115,427.1775339,0.614642413,1.054353044,0.803469242,1.863582846,19.22795828,17.08710136,22.52542672,15.36859466,29.67553062,15.36859466,8.074560386,1.98652761,22.86829827,427.1775339,411.6695396,393.4831712,333.2329528,242.9255195,427.1775339
g1,8015,26,26.93570244,1163.71225,47.30009469,445.0388546,0.576876337,1.035988556,0.710523545,1.819234411,17.86132076,17.11687902,22.7490498,15.51067389,29.65488055,15.51067389,8.16445688,1.962881696,22.86829827,445.0388546,428.8007923,409.965359,348.2708666,256.0426499,445.0388546
g1,8015,27,27.47676675,1158.46926,47.92734715,467.2090616,0.541064308,1.017658028,0.627252456,1.775086932,22.17020699,17.30403932,22.95115245,15.63798942,29.5892928,15.63798942,8.246401831,1.93975307,22.86829827,467.2090616,449.9435395,430.1859029,366.2610124,270.9614827,467.2090616
g1,8015,28,27.98393083,1153.368526,48.48021096,482.4006735,0.507164075,0.999426101,0.552863807,1.731436106,15.19161186,17.22859548,23.1341348,15.75230178,29.48350852,15.75230178,8.32111614,1.917138135,22.86829827,482.4006735,464.5386963,444.2370218,378.947053,281.9389533,482.4006735
g1,8015,29,28.45905366,1148.404614,48.96679379,496.4751554,0.475122835,0.981346678,0.486582836,1.688510131,14.07448186,17.11983294,23.30013456,15.8551797,29.34189494,15.8551797,8.389242167,1.895030878,22.86829827,496.4751554,478.1760851,457.4264212,391.0618912,292.6001794,496.4751554
g1,8015,30,28.90393366,1143.572193,49.39445888,509.503661,0.444879995,0.963464455,0.427665087,1.646481963,13.02850562,16.98345537,23.45105483,15.94801862,29.16846012,15.94801862,8.451353984,1.873423371,22.86829827,509.503661,490.8300551,469.7471414,402.4701275,302.7280103,509.503661
g1,8016,9.5036,12.33,1400,19.16,77.3837607,0,1.297403089,0,2.033927093,0,8.214662183,13.20045174,8.933330325,20.35344585,8.933330325,4.814691331,2.367239214,24.39153267,77.3837607,76.13392291,70.54874071,44.86846401,10.40617925,77.3837607
g1,8016,10,13.03299227,1395.521759,21.90201657,92.46915337,0.702992269,1.303299227,2.742016568,2.190201657,15.08539267,9.246915337,14.13607383,9.64671902,21.099655,9.64671902,5.065765125,2.357824951,24.39153267,92.46915337,91.5649871,85.60051823,58.40772826,18.51413187,92.46915337
